grid_x,grid_y,predicted_sinr
38,21,27.487920117349265
39,21,27.487976870657445
0,22,27.4879838112925
1,22,27.48798541190273
2,22,27.488004551837268
3,22,27.48817948198333
4,22,27.48939881515971
5,22,27.495860221338198
6,22,27.521762585592587
7,22,27.59968557799984
8,22,27.773110132134832
9,22,28.050586426678628
10,22,28.347808047973317
11,22,28.508510064742595
12,22,28.43197995784358
13,22,28.171178526145226
14,22,27.87474981057633
15,22,27.652177528531496
16,22,27.515270003630103
17,22,27.413413754691277
18,22,27.289810032915508
19,22,27.12631234342593
20,22,26.971183516476465
21,22,26.913395852550924
22,22,26.9982249075811
23,22,27.17515428739794
24,22,27.349235866377274
25,22,27.46663824617674
26,22,27.53124602026782
27,22,27.560567368518257
28,22,27.55770564041574
29,22,27.526170831547375
30,22,27.486567618255652
31,22,27.46302711235145
32,22,27.461590721174698
33,22,27.471350658405843
34,22,27.480657990064188
35,22,27.485613239109636
36,22,27.487407941355812
37,22,27.487877607381776
38,22,27.487968786847052
39,22,27.487982098352795
0,23,27.487983760944857
1,23,27.487984621029796
2,23,27.487995026498602
3,23,27.488091590950017
4,23,27.48877824125055
5,23,27.49251288502187
6,23,27.50800347500232
7,23,27.556748183442284
8,23,27.67199026764195
9,23,27.8726870170299
10,23,28.11840660203978
11,23,28.30043359307574
12,23,28.313863911165907
13,23,28.150777528191504
14,23,27.90362030336939
15,23,27.675291904376234
16,23,27.500712751918883
17,23,27.343190767513736
18,23,27.142140267244724
19,23,26.879975088450884
20,23,26.635291856127726
21,23,26.5493852017712
22,23,26.693819914050465
23,23,26.98489066221216
24,23,27.26312699882245
25,23,27.433118722835697
26,23,27.501429120520196
27,23,27.516354313901047
28,23,27.51224534941852
29,23,27.50220113214503
30,23,27.491863261221322
31,23,27.4854645313914
32,23,27.483983834196536
33,23,27.485209646893185
34,23,27.486713426496028
35,23,27.487564752269897
36,23,27.487880902986777
37,23,27.48796465244831
38,23,27.487981016360266
39,23,27.487983413880013
0,24,27.48798372970855
1,24,27.487984136318357
2,24,27.487989281957706
3,24,27.488039723220748
4,24,27.488422769470905
5,24,27.490674280719368
6,24,27.50089403240503
7,24,27.53654449261753
8,24,27.631261184901984
9,24,27.819660744299966
10,24,28.090332008921354
11,24,28.345811582853898
12,24,28.44511572094277
13,24,28.32195807379566
14,24,28.04675368749214
15,24,27.75143026070462
16,24,27.513777761494886
17,24,27.325009868191053
18,24,27.136943154315578
19,24,26.927799868855196
20,24,26.74844291942047
21,24,26.70116538209788
22,24,26.83866000489776
23,24,27.09191905204453
24,24,27.32830993122724
25,24,27.466126323735047
26,24,27.511711763457583
27,24,27.51165115985107
28,24,27.50151600793692
29,24,27.49398716157219
30,24,27.489950889795608
31,24,27.48812546484948
32,24,27.487587401779038
33,24,27.487642825045942
34,24,27.487817241585756
35,24,27.487927251775883
36,24,27.487969655533796
37,24,27.487981080244175
38,24,27.48798333197818
39,24,27.487983663445043
0,25,27.48798371647357
1,25,27.487983936488558
2,25,27.48798700303607
3,25,27.48802026163367
4,25,27.488300187625608
5,25,27.490121707237208
6,25,27.499239015406225
7,25,27.534095890983902
8,25,27.63483230325989
9,25,27.85116082091408
10,25,28.185079340348654
11,25,28.52605985214156
12,25,28.68661998956363
13,25,28.55810876742903
14,25,28.21542514308804
15,25,27.833503835991298
16,25,27.53185861052558
17,25,27.32620672373537
18,25,27.181543660405598
19,25,27.068457922944436
20,25,26.991339202442077
21,25,26.98656607290236
22,25,27.07913579715933
23,25,27.237603307958988
24,25,27.389868536757625
25,25,27.482689049404645
26,25,27.513322420230846
27,25,27.510185369507415
28,25,27.499605591104796
29,25,27.49245889291252
30,25,27.48932953873934
31,25,27.488279398943806
32,25,27.48800228086594
33,25,27.48795924751972
34,25,27.487968017564437
35,25,27.48797798789222
36,25,27.487982241611643
37,25,27.487983427121264
38,25,27.487983664190658
39,25,27.487983699337313
0,26,27.487983712238364
1,26,27.487983873768634
2,26,27.487986307790727
3,26,27.488014579706636
4,26,27.48826695911928
5,26,27.489992422175707
6,26,27.49898719118918
7,26,27.534521043616014
8,26,27.639906224720175
9,26,27.87078783312277
10,26,28.232599424646644
11,26,28.606370879705445
12,26,28.78482886487605
13,26,28.645769321268475
14,26,28.271348538391994
15,26,27.856517852107515
16,26,27.537287260564884
17,26,27.33943920296105
18,26,27.234066680243654
19,26,27.18346512908708
20,26,27.156717380889333
21,26,27.14568350108005
22,26,27.16762767521702
23,26,27.23705139986963
24,26,27.337259898647535
25,26,27.428669215136264
26,26,27.48286280422484
27,26,27.500559324468508
28,26,27.499237075911104
