x,y,mask
697.0,200.0,0
725.0,200.0,0
752.0,200.0,0
779.0,200.0,0
806.0,200.0,0
833.0,200.0,0
860.0,200.0,0
887.0,200.0,0
915.0,200.0,0
942.0,200.0,0
969.0,200.0,0
996.0,200.0,0
1023.0,200.0,0
1050.0,200.0,0
1078.0,200.0,0
19.0,226.0,0
46.0,226.0,0
73.0,226.0,0
100.0,226.0,0
127.0,226.0,0
154.0,226.0,0
181.0,226.0,0
209.0,226.0,0
236.0,226.0,0
263.0,226.0,0
290.0,226.0,0
317.0,226.0,0
344.0,226.0,0
372.0,226.0,0
399.0,226.0,0
426.0,226.0,0
453.0,226.0,0
480.0,226.0,0
507.0,226.0,1
534.0,226.0,0
562.0,226.0,0
589.0,226.0,0
616.0,226.0,0
643.0,226.0,0
670.0,226.0,0
697.0,226.0,0
725.0,226.0,0
752.0,226.0,0
779.0,226.0,0
806.0,226.0,0
833.0,226.0,0
860.0,226.0,0
887.0,226.0,0
915.0,226.0,0
942.0,226.0,0
969.0,226.0,0
996.0,226.0,0
1023.0,226.0,0
1050.0,226.0,0
1078.0,226.0,0
19.0,253.0,0
46.0,253.0,0
73.0,253.0,0
100.0,253.0,0
127.0,253.0,0
154.0,253.0,0
181.0,253.0,0
209.0,253.0,0
236.0,253.0,0
263.0,253.0,1
290.0,253.0,0
317.0,253.0,0
344.0,253.0,0
372.0,253.0,1
399.0,253.0,0
426.0,253.0,0
453.0,253.0,0
480.0,253.0,0
507.0,253.0,0
534.0,253.0,0
562.0,253.0,0
589.0,253.0,0
616.0,253.0,0
643.0,253.0,0
670.0,253.0,0
697.0,253.0,0
725.0,253.0,0
752.0,253.0,0
779.0,253.0,0
806.0,253.0,0
833.0,253.0,0
860.0,253.0,0
887.0,253.0,0
915.0,253.0,0
942.0,253.0,0
969.0,253.0,0
996.0,253.0,0
1023.0,253.0,0
1050.0,253.0,0
1078.0,253.0,0
19.0,279.0,0
46.0,279.0,0
73.0,279.0,0
100.0,279.0,0
127.0,279.0,0
154.0,279.0,0
181.0,279.0,0
209.0,279.0,0
236.0,279.0,0
263.0,279.0,0
290.0,279.0,0
317.0,279.0,0
344.0,279.0,0
372.0,279.0,0
399.0,279.0,0
426.0,279.0,0
453.0,279.0,0
480.0,279.0,0
507.0,279.0,0
534.0,279.0,0
562.0,279.0,0
589.0,279.0,0
