x,y
426,545
453,545
480,545
507,545
534,545
562,545
589,545
616,545
643,545
670,545
697,545
725,545
752,545
779,545
806,545
833,545
860,545
887,545
915,545
942,545
969,545
996,545
1023,545
1050,545
1078,545
19,572
46,572
73,572
100,572
127,572
154,572
181,572
209,572
236,572
263,572
290,572
317,572
344,572
372,572
399,572
426,572
453,572
480,572
507,572
534,572
562,572
589,572
616,572
643,572
670,572
697,572
725,572
752,572
779,572
806,572
833,572
860,572
887,572
915,572
942,572
969,572
996,572
1023,572
1050,572
1078,572
19,598
46,598
73,598
100,598
127,598
154,598
181,598
209,598
236,598
263,598
290,598
317,598
344,598
372,598
399,598
426,598
453,598
480,598
507,598
534,598
562,598
589,598
616,598
643,598
670,598
697,598
725,598
752,598
779,598
806,598
833,598
860,598
887,598
915,598
942,598
969,598
996,598
1023,598
1050,598
1078,598
19,625
46,625
73,625
100,625
127,625
154,625
181,625
209,625
236,625
263,625
290,625
317,625
344,625
372,625
399,625
426,625
453,625
480,625
507,625
534,625
562,625
589,625
616,625
643,625
670,625
697,625
725,625
752,625
779,625
806,625
833,625
860,625
887,625
915,625
942,625
969,625
996,625
1023,625
1050,625
1078,625
19,652
46,652
73,652
100,652
127,652
154,652
181,652
209,652
236,652
263,652
290,652
317,652
344,652
372,652
399,652
426,652
453,652
480,652
507,652
534,652
562,652
589,652
616,652
643,652
670,652
697,652
725,652
752,652
779,652
806,652
833,652
860,652
887,652
915,652
942,652
969,652
996,652
1023,652
1050,652
1078,652
19,678
46,678
73,678
100,678
127,678
154,678
181,678
209,678
236,678
263,678
290,678
317,678
344,678
372,678
399,678
426,678
453,678
480,678
507,678
534,678
562,678
589,678
616,678
643,678
670,678
697,678
725,678
752,678
779,678
806,678
833,678
860,678
887,678
915,678
942,678
969,678
996,678
1023,678
1050,678
1078,678
19,705
46,705
73,705
100,705
127,705
154,705
181,705
209,705
236,705
263,705
290,705
317,705
344,705
372,705
399,705
426,705
453,705
480,705
507,705
534,705
562,705
589,705
616,705
643,705
670,705
697,705
725,705
752,705
779,705
806,705
833,705
860,705
887,705
915,705
942,705
969,705
996,705
1023,705
1050,705
1078,705
19,731
46,731
73,731
100,731
127,731
154,731
181,731
209,731
236,731
263,731
290,731
317,731
344,731
372,731
399,731
426,731
453,731
480,731
507,731
534,731
562,731
589,731
616,731
643,731
670,731
697,731
725,731
752,731
779,731
806,731
833,731
860,731
887,731
915,731
942,731
969,731
996,731
1023,731
1050,731
1078,731
19,758
46,758
73,758
100,758
127,758
154,758
181,758
209,758
236,758
263,758
290,758
317,758
344,758
372,758
399,758
426,758
453,758
480,758
507,758
534,758
562,758
589,758
616,758
643,758
670,758
697,758
725,758
752,758
779,758
806,758
833,758
860,758
887,758
915,758
942,758
969,758
996,758
1023,758
1050,758
1078,758
19,785
46,785
73,785
100,785
127,785
154,785
181,785
209,785
236,785
263,785
290,785
317,785
344,785
372,785
399,785
426,785
453,785
480,785
