X,Y,Point_Index
175,779,1167
200,780,1168
236,786,1169
267,776,1170
285,789,1171
317,785,1172
344,785,1173
372,785,1174
399,785,1175
426,785,1176
453,785,1177
480,785,1178
507,785,1179
534,785,1180
562,785,1181
589,785,1182
616,785,1183
643,785,1184
670,785,1185
697,785,1186
725,785,1187
752,785,1188
779,785,1189
795,786,1190
811,803,1191
833,829,1192
833,829,1193
833,829,1194
833,829,1195
837,839,1196
837,839,1197
837,839,1198
837,839,1199
837,839,1200
84,767,1201
86,770,1202
86,770,1203
95,770,1204
157,789,1205
160,791,1206
186,831,1207
214,819,1208
236,811,1209
267,817,1210
290,812,1211
317,811,1212
344,811,1213
372,811,1214
399,811,1215
426,811,1216
453,811,1217
480,811,1218
507,811,1219
534,811,1220
562,811,1221
589,811,1222
616,811,1223
643,811,1224
670,811,1225
697,811,1226
725,811,1227
752,811,1228
779,811,1229
805,811,1230
825,823,1231
833,829,1232
833,829,1233
837,839,1234
837,839,1235
837,839,1236
837,839,1237
837,839,1238
837,839,1239
837,839,1240
86,770,1241
86,770,1242
86,770,1243
95,770,1244
176,837,1245
176,837,1246
180,836,1247
214,845,1248
236,838,1249
263,838,1250
290,838,1251
317,838,1252
344,838,1253
372,838,1254
399,838,1255
426,838,1256
453,838,1257
480,838,1258
507,838,1259
534,838,1260
562,838,1261
589,838,1262
616,838,1263
643,838,1264
670,838,1265
697,838,1266
725,838,1267
749,837,1268
778,838,1269
806,839,1270
833,838,1271
837,839,1272
837,839,1273
837,839,1274
837,839,1275
837,839,1276
837,839,1277
837,839,1278
837,839,1279
837,839,1280
86,770,1281
86,770,1282
86,770,1283
176,837,1284
176,837,1285
176,837,1286
200,853,1287
208,854,1288
235,864,1289
260,858,1290
290,864,1291
317,864,1292
344,864,1293
372,864,1294
399,864,1295
426,864,1296
453,864,1297
480,864,1298
507,864,1299
534,864,1300
562,864,1301
589,864,1302
616,864,1303
643,864,1304
670,864,1305
697,864,1306
725,864,1307
752,864,1308
779,864,1309
806,865,1310
828,864,1311
837,852,1312
837,852,1313
837,852,1314
837,852,1315
837,852,1316
837,852,1317
837,852,1318
837,852,1319
837,852,1320
86,770,1321
86,770,1322
176,837,1323
176,837,1324
176,837,1325
176,837,1326
200,853,1327
229,875,1328
236,875,1329
266,893,1330
290,890,1331
317,893,1332
344,891,1333
372,891,1334
399,891,1335
426,891,1336
453,891,1337
480,891,1338
507,891,1339
534,891,1340
562,891,1341
589,891,1342
616,891,1343
643,891,1344
670,891,1345
697,891,1346
725,891,1347
752,891,1348
778,890,1349
806,890,1350
825,886,1351
830,878,1352
830,878,1353
830,878,1354
837,852,1355
837,852,1356
837,852,1357
837,852,1358
837,852,1359
837,852,1360
86,770,1361
176,837,1362
176,837,1363
176,837,1364
176,837,1365
230,924,1366
230,924,1367
230,924,1368
236,917,1369
262,916,1370
290,918,1371
318,919,1372
344,918,1373
372,918,1374
399,918,1375
426,918,1376
453,918,1377
480,918,1378
507,918,1379
534,918,1380
562,918,1381
589,918,1382
616,918,1383
643,918,1384
670,918,1385
697,918,1386
725,918,1387
752,918,1388
777,914,1389
807,918,1390
808,918,1391
825,886,1392
830,878,1393
830,878,1394
830,878,1395
830,878,1396
830,878,1397
830,878,1398
837,852,1399
837,852,1400
86,770,1401
176,837,1402
176,837,1403
176,837,1404
230,925,1405
230,925,1406
230,925,1407
230,925,1408
230,925,1409
258,918,1410
299,945,1411
318,944,1412
344,944,1413
372,944,1414
399,944,1415
426,944,1416
453,944,1417
480,944,1418
507,944,1419
534,944,1420
562,944,1421
589,944,1422
616,944,1423
643,944,1424
666,941,1425
697,944,1426
726,940,1427
760,939,1428
779,945,1429
785,950,1430
808,918,1431
808,918,1432
808,918,1433
825,886,1434
830,878,1435
830,878,1436
830,878,1437
830,878,1438
830,878,1439
830,878,1440
176,837,1441
176,837,1442
230,925,1443
230,925,1444
230,925,1445
230,925,1446
230,925,1447
230,925,1448
